run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260507T000216_456118/20260507-probe-final-negative-hybrid-2nc,1,1,0,0.09027474299699682,1.4265335235378032,0.9058402860548272
20260512T100138_745115/20260512-delayonly,5,2,2,0.09038254001668991,0.5012766583538559,0.2538656819755366
20260507T145453_015565/20260507-stage20-heavy-rescue-probe3-w3-2nc,1,1,0,0.09051305056723537,0.0,-0.4634994206257242
20260510T013014_194211/20260510-01,10,2,3,0.0905743299996118,0.5012766583538559,0.2768804799261652
20260423T144134_345392/20260421-03-bneck-band-r2-t005-plus-combo,8,1,1,0.09074512888571264,1.6169904669965005,1.2091898428053205
20260512T150659_713810/20260512-delayonly,3,1,2,0.09091208941947934,-1.0432968179447053,-1.4110269140318787
20260427T213205_076794/20260427-1,3,1,2,0.09093067988181627,0.5656565656565656,0.202388180530257
20260504T144823_701563/20260504-01,14,2,5,0.09095764457341282,0.5012766583538559,0.32287822878228783
20260429T103852_584952/20260429-1,6,2,4,0.09100971297627748,0.6810766288536251,0.5089264076258178
20260507T150233_184569/20260507-resume14-neh4pct-pw05-120x15-holdout-2nc,3,1,2,0.09102859579243647,0.1234186979327368,-0.2163498686447226
20260427T173549_481577/20260427-1,11,2,4,0.09114916928667702,0.5012766583538559,0.34586119437399127
20260507T173049_918532/20260507-resume19-guarded-c15-bneck-cplb-w2-2nc,2,1,1,0.09130818781684755,1.83206106870229,1.5593945879834887
20260426T165652_609087/20260426-01,11,1,4,0.09132422646858808,0.2688172043010752,0.0
20260515T095310_742221/20260515-2,8,1,6,0.09132422646858808,0.2688172043010752,0.0
20260427T125933_063937/20260427-1,2,1,1,0.09152351229482922,1.147086031452359,0.9260974254491572
20260511T234038_596945/20260511-3,1,1,0,0.09152891210029614,1.2513801987486195,1.0316875460574797
20260504T141252_575259/20260504-01,7,1,2,0.09157537362884109,-1.190784364483562,-1.399326250323918
20260423T235638_652516/20260423-02-2nc,24,2,12,0.0916978094125016,0.28165547961320814,0.1920768307322929
20260504T104024_580061/20260504-01,9,2,3,0.09172321386505043,0.5012766583538559,0.4147465437788018
20260504T125546_469368/20260504-01,12,2,4,0.09172321386505043,0.5012766583538559,0.4147465437788018
20260509T234705_043370/20260509-resume20-stage-time-window-loose-pilot111-2nc,1,1,0,0.0917359376791346,1.857408201171596,1.6874016874016875
20260514T054753_952826/20260514-2,3,1,1,0.09222575382669322,-1.0432968179447053,-1.0957474563005478
20260508T005410_865965/20260508-full240-unified-hardtrust-postneh-bneck-v7-2nc,18,2,10,0.09223081239702241,0.02561829073841765,0.0
20260426T194105_949430/20260426-01,9,1,4,0.0922964653816071,0.0354798651765123,0.0
20260429T140146_391618/20260429-1,15,1,8,0.0922964653816071,0.0354798651765123,0.0
20260502T152719_585551/20260502-01,10,1,4,0.0922964653816071,0.0354798651765123,0.0
20260502T162552_850973/20260502-01,9,1,3,0.0922964653816071,0.0354798651765123,0.0
20260503T082634_204780/20260421-01-bneck-band-r2-t005-plus-combo,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260503T095633_591568/20260502-01,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260504T170246_084306/20260504-01,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260506T230449_832168/20260506-01,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260506T231837_505810/20260506-01,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260508T003648_507816/20260508-full240-unified-hardtrust-postneh-bneck-v7-2nc,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260508T090734_814340/20260508-aggressive-state-split-exact-2nc,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260508T092659_614919/20260508-aggressive-state-split-exact-2nc,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260508T093724_957212/20260508-aggressive-state-split-exact-2nc,4,1,0,0.0922964653816071,0.0354798651765123,0.0
