Problem,SolverVendor,Formulation,Instance,n,c,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,223,80,15,2218,2366,0.06673,2400.119
Hybridflowshop,CPLEX,CP,224,80,20,2312,2640,0.14187,3200.157
Hybridflowshop,CPLEX,CP,225,120,5,2793,2793,0,7.642
Hybridflowshop,CPLEX,CP,226,120,10,2885,3104,0.07591,2400.103
Hybridflowshop,CPLEX,CP,227,120,15,3041,3489,0.14732,3600.151
Hybridflowshop,CPLEX,CP,228,120,20,3403,3841,0.12871,4800.148
Hybridflowshop,CPLEX,CP,229,160,5,4097,4097,0,3.724
Hybridflowshop,CPLEX,CP,230,160,10,4274,4279,0.00117,3200.087
Hybridflowshop,CPLEX,CP,231,160,15,3867,4281,0.10706,4800.145
Hybridflowshop,CPLEX,CP,232,160,20,3910,4380,0.1202,6400.162
Hybridflowshop,CPLEX,CP,233,200,5,5214,5214,0,20.376
Hybridflowshop,CPLEX,CP,234,200,10,4878,4878,0,118.691
Hybridflowshop,CPLEX,CP,235,200,15,4757,5159,0.08451,6000.146
Hybridflowshop,CPLEX,CP,236,200,20,5154,5610,0.08847,8000.214
Hybridflowshop,CPLEX,CP,237,240,5,6404,6406,0.00031,2400.056
Hybridflowshop,CPLEX,CP,238,240,10,12744,12744,0,3.788
Hybridflowshop,CPLEX,CP,239,240,15,6382,6397,0.00235,7200.241
Hybridflowshop,CPLEX,CP,240,240,20,5694,6433,0.12979,9600.283
